"","City","X","long","lat"
"128","Allendale",90,-82.8366064444444,38.8813307777778
"129","Allenhurst",1,-74.0006,40.23622
"130","Allenport",3,-79.84487,40.09384
"131","Allenstown",5,-71.407864,43.146398
"132","Allenton",36,-88.3507327777778,43.4398861111111
"133","Allentown",1064,-75.459589981203,40.5666592199248
"134","Allenwood",10,-76.098279,40.819948
"135","Allerton",2,-87.947975,39.908525
"136","Alleyton",9,-96.4835922222222,29.7128644444444
"137","Alliance",14,-81.1504295714286,40.9328122857143
"138","Allison",4,-92.7624,42.74468
"139","Allison Park",75,-79.9510056,40.5790722666667
"140","Allons",1,-85.37477,36.47657
"141","Alloway",1,-75.34854,39.53488
"142","Allston",215,-71.1234628372093,42.3572504186047
"143","Allyn",24,-122.833783333333,47.3849841666667
"144","Alma",38,-88.271185,35.6084763157895
"145","Almond",4,-79.21561,40.58018
"146","Almont",15,-83.0529313333333,42.9436073333333
"147","Alpena",13,-83.4557284615385,45.0872830769231
"148","Alpha",13,-89.3383792307692,42.2775376923077
"149","Alpharetta",1041,-84.2770234678194,34.0678591354467
"150","Alpine",211,-103.874898436019,35.383725971564
"151","Alpine Meadows",5,-120.195,39.18703
"152","Alplaus",3,-73.8984,42.86679
"153","Alsea",44,-123.713720454545,44.3788288636364
"154","Alsip",210,-87.7419434761905,41.6661360952381
"155","Alstead",9,-72.3534933333333,43.1297144444444
"156","Alta",206,-120.61064368932,39.2710815048544
"157","Alta Vista",1,-96.50179,38.85515
"158","Altadena",515,-118.144241747573,34.1872011650485
"159","Altamont",39,-80.4164048717949,41.2933241025641
"160","Altamonte Springs",893,-81.3908001343785,28.6626232026876
"161","Altavista",27,-79.2652685185185,37.1346237037037
"162","Altha",15,-85.1618273333333,30.5376933333333
"163","Alto",41,-84.9817982926829,35.8316904878049
"164","Alto Pass",4,-89.3219875,37.5686075
"165","Alton",85,-89.7831069411765,39.8333857647059
"166","Alton Bay",6,-71.2626766666667,43.4984383333333
"167","Altona",1,-73.64114,44.8357
"168","Altoona",388,-88.1953429639175,38.6169362113402
"169","Altura",10,-91.921826,44.177209
"170","Alturas",19,-120.483694736842,41.5210036842105
"171","Altus",2,-96.53176,35.070405
"172","Alum Bank",3,-78.6622766666667,40.19932
"173","Alum Creek",3,-81.8148766666667,38.2679233333333
"174","Alva",142,-81.7719238732394,26.782995915493
"175","Alvarado",51,-97.2420025490196,32.4360643137255
"176","Alverton",4,-79.5883575,40.137285
"177","Alvin",36,-95.255535,29.4282616666667
"178","Alviso",46,-121.971058695652,37.4184645652174
"179","Alvordton",2,-84.464465,41.665915
"180","Amado",11,-111.0365,31.7646572727273
"181","Amagansett",5,-72.121466,40.977288
"182","Amana",3,-91.88089,41.80108
"183","Amanda",19,-82.7638331578947,39.6360194736842
"184","Amanda Park",3,-123.970233333333,47.4652833333333
"185","Amargosa Valley",9,-116.480411111111,36.8355733333333
"186","Amarillo",38,-101.926947368421,35.1973155263158
"187","Amawalk",21,-73.7592952380952,41.2866290476191
"188","Amazonia",2,-94.934515,39.938935
"189","Amber",1,-97.80989,35.14641
"190","Amberg",3,-87.98762,45.5017766666667
"191","Ambler",1253,-75.2172872785315,40.18048528332
"192","Amboy",21,-110.456460952381,40.9758223809524
"193","Ambridge",8,-80.22524375,40.5944025
"194","Ambrose",2,-83.023785,31.57075
"195","Amelia",20,-84.2191499,39.03141995
"196","Amelia Court House",107,-77.9323358878505,37.349836728972
"197","Amenia",46,-73.5506365217391,41.8545995652174
"198","American Canyon",544,-122.198584926471,38.1906795772059
"199","American Falls",16,-113.012025,42.67916625
"200","American Fork",385,-111.803282337662,40.3709302077922
"201","American Fork-Pleasant Grove",1,-111.8902,40.43217
"202","Americus",17,-84.2157405882353,32.0541311764706
"203","Amery",2,-92.359995,45.39587
"204","Ames",163,-93.6312981595092,42.0126403067485
"205","Amesbury",65,-70.9249224615385,42.8438167692308
"206","Amherst",105,-78.7091810952381,40.6539216761905
"207","Amherst Junction",1,-89.31844,44.46819
"208","Amidon",1,-103.1961,46.52551
"209","Amissville",12,-77.9838283333333,38.6946891666667
"210","Amite",6,-90.5164166666667,30.6916366666667
"211","Amity",107,-117.571387009346,44.4482793457944
"212","Amityville",190,-73.4203305263158,40.6988285789474
"213","Amma",14,-81.2566685714286,38.5720964285714
"214","Amsterdam",116,-74.1861806034483,42.9283307758621
"215","Amston",11,-72.3650572727273,41.6388927272727
"216","Anabel",1,-92.3283,39.75027
"217","Anaconda",1,-113.0406,46.15651
"218","Anacortes",76,-122.587784210526,48.4526927631579
"219","Anadarko",2,-98.24399,35.08967
"220","Anaheim",8480,-117.851534964623,33.8472355271226
"221","Anaheim-Santa Ana-Garden Grove",4,-117.923825,33.787345
"222","Anahuac",7,-94.58523,29.8376785714286
"223","Anamosa",6,-91.2725216666667,42.0907616666667
"224","Anatone",3,-117.2784,45.99826
"225","Ancram",41,-73.7071595121951,42.1022456097561
"226","Ancramdale",5,-73.577562,42.038346
"227","Andalusia",18,-86.5083333333333,31.2635327777778
"228","Anderson",4540,-84.2830336028634,34.959881707489
"229","Andersonville",12,-84.07785,35.53407
"230","Andes",3,-74.79734,42.24074
"231","Andover",1134,-71.5286287301587,42.6254556261023
"232","Andrews",203,-80.2502884236453,33.6115504433498
"233","Andrews Air Force Base",44,-76.8657593181818,38.8188286363636
"234","Aneth",11,-109.453018181818,37.1931345454545
"235","Angel Fire",2,-105.32335,36.425535
"236","Angels Camp",124,-120.600774193548,38.0587880645161
"237","Angelus Oaks",40,-116.88319,34.16169525
"238","Angier",24,-78.6946366666667,35.4961904166667
"239","Angleton",96,-95.4489203125,29.1623292708333
"240","Angola",30,-83.3951687666667,41.9047574666667
"241","Angora",6,-92.65682,47.7631216666667
"242","Angwin",43,-122.451776744186,38.571131627907
"243","Anita",32,-94.805349375,41.4972125
"244","Aniwa",3,-89.1851266666667,45.0286966666667
"245","Ankeny",322,-93.5857783540373,41.7144569254658
"246","Ann Arbor",835,-83.7287992694611,42.2871298562874
"247","Anna",42,-90.310660952381,36.8968426190476
"248","Anna Maria",1,-82.73487,27.52927
"249","Annada",1,-90.82794,39.26191
"250","Annandale",853,-77.0807194372802,39.1654816295428
"251","Annapolis",898,-77.3861425723831,38.9942199554566
"252","Annapolis Junction",102,-76.7787365686275,39.1166925490196
"253","Annawan",6,-89.88923,41.3995616666667
"254","Anniston",53,-85.756341509434,33.6411281132076
"255","Annville",135,-76.5588048888889,40.3763761481481
"256","Anoka",146,-93.4177156849315,45.2202143835616
"257","Ansonia",38,-73.3914221052632,41.3174613157895
"258","Ansted",1,-81.1042,38.13289
"259","Antelope",571,-121.319417112084,39.3274903870403
"260","Anthem",7,-112.1377,33.8663057142857
"261","Anthony",8,-82.0986875,29.29617375
"262","Antigo",13,-89.1519984615385,45.1353884615385
"263","Antimony",1,-111.9978,38.14068
"264","Antioch",4613,-93.6590405558205,37.2613707656623
"265","Anton",1,-102.1941,33.82757
"266","Anton Chico",2,-104.98995,34.976545
"267","Antonito",1,-106.0088,37.0752
"268","Antrim",23,-73.7274534782609,42.0484273913043
"269","Antwerp",7,-82.1171585714286,42.04963
"270","Anza",25,-116.673484,33.5469168
"271","Apache Junction",146,-111.555897260274,33.3944386986301
"272","Apalachicola",1,-85.10581,29.72075
"273","Apalachin",7,-76.21992,42.0881271428571
"274","Apex",2010,-78.8500305522388,35.7258303383085
"275","Apison",4,-85.029,35.0259575
"276","Apollo",53,-79.5808477358491,40.5517222641509
"277","Apollo Beach",273,-82.3653653113553,27.785185018315
"278","Apopka",735,-81.5122938639456,28.6747560272109
"279","Appalachia",3,-82.8126166666667,36.89445
"280","Apple Creek",8,-81.750705,40.71275
"281","Apple Valley",240,-116.89250125,34.7473767916667
"282","Applegate",71,-120.992442253521,39.0057108450704
"283","Appleton",303,-88.4513908910891,44.2871579207921
"284","Appling",15,-82.3431486666667,33.519496
"285","Appomattox",33,-78.8186287878788,37.3482806060606
"286","Aptos",638,-121.8960169279,36.9766943260188
"287","Arab",15,-86.495764,34.297346
"288","Arabi",10,-83.713498,31.833999
"289","Aragon",6,-85.0805716666667,34.070035
"290","Arapahoe",3,-101.485296666667,39.4662966666667
"291","Ararat",5,-80.531842,36.580086
"292","Arbuckle",96,-122.037846875,39.010686875
"293","Arcadia",1254,-115.039420653907,33.6681034449761
"294","Arcadia West",2,-82.05629,27.283745
"295","Arcanum",6,-84.5080616666667,39.9969933333333
"296","Arcata",94,-124.099657446809,40.8779308510638
"297","Arch Cape",26,-123.961607692308,45.7987588461538
"298","Archbald",1,-75.52773,41.49616
"299","Archbold",6,-84.326165,41.5856916666667
"300","Archdale",2,-79.96116,35.906505
"301","Archer",15,-82.510002,29.5218733333333
"302","Arco",1,-113.5371,43.48989
"303","Ardara",1,-79.73745,40.35741
"304","Arden",131,-82.551445648855,35.4771845038168
"305","Ardmore",549,-77.0644958105647,39.3435246630237
"306","Ardsley",124,-73.8499233870968,41.0086619354839
"307","Arena",4,-89.98032,43.16162
"308","Arenas Valley",1,-108.1624,32.77208
"309","Argenta",2,-88.79483,39.983675
"310","Argos",6,-86.2570966666667,41.2262266666667
"311","Argyle",58,-91.4774074137931,35.5694827586207
"312","Ariel",10,-122.48284,45.983415
"313","Arimo",1,-112.1697,42.50972
"314","Ariton",9,-85.7548522222222,31.56664
"315","Arkadelphia",11,-93.0892627272727,34.13179
"316","Arkdale",8,-89.92420375,44.0375075
"317","Arlee",3,-114.129,47.1851133333333
"318","Arleta",44,-118.425681818182,34.2444936363636
"319","Arlington",6367,-93.5049915894456,37.0816613679912
"320","Arlington Heights",175,-87.9862158285714,42.0723540571429
"321","Armada",1,-82.88471,42.8458
"322","Armagh",6,-79.0212766666667,40.4554633333333
"323","Armington",2,-89.314065,40.339695
"324","Armona",13,-119.712961538462,36.3082846153846
"325","Armonk",358,-73.7125362290503,41.101776452514
"326","Armuchee",5,-85.178314,34.394972
"327","Arnold",326,-95.2418134662577,38.4702412883436
"328","Aroda",1,-78.23223,38.32643
"329","Aromas",202,-121.634403960396,36.8590254455446
"330","Arona",3,-79.6605133333333,40.2661833333333
"331","Arriba",2,-103.30735,39.28182
"332","Arrington",28,-83.0587739285714,36.7055978571429
"333","Arroyo Grande",291,-120.557607216495,35.1004374570447
"334","Artesia",589,-117.943084040747,33.8657525127334
"335","Arundel",6,-70.5616016666667,43.46668
"336","Arvada",421,-105.100605938242,39.8086359857482
